lion 사자
tiger 호랑이
lemon 레몬
pencil 연필
dog 개
cat 고양이
red 빨간색
yellow 노란색
green 초록생
blue 파란색
black 검은색
white 하얀색
cruel 잔인한
assist 돕다
protect 보호하다
protection 보호
pen 볼펜
sharp 날카로운
kind 착한
mind 마음
monday 월요일
tuesday 화요일
thursday 목요일
friday 금요일
saturday 토요일
sunday 일요일
one 일
two 이
three 삼
four 사
five 오
six 육
seven 칠
eight 팔
nine 구
ten 십
product 생산하다
production 생산품
sighting 목격
compelling 강력한
deputy 대리인
advertisment 광고
citizenship 시민권
nutrient 영양소
predecessor 전임자
abstain 기권하다
incidentally 그건그렇고
voiceless 무언의
embrace 포옹하다
outstand 눈에띄다
laborious 힘든
prospective 장래의
necessarily 반드시
extension 연장
derivative 파생어
backbone 척추
revoke 취소하다
depression 우을증
astronomer 천문학자
atmosphere 대기
mournful 슬퍼하는
contempt 경멸
poll 여론조사
exhaustion 탈진
nonsense 허튼소리
segregation 차별
famine 기근
bondage 구속
needless 불필요한
depression 떨어뜨리다
grill 석쇠
enact 제정하다
rainforest 열대우림
biography 전기
hypocritical 위성의
pleasantly 즐겁게
precision 정밀
smuggle 밀수하다
overrule 뒤엎다
proponent 지지자
flaw 결함
distinct 분명한
vaccination 예방접종
comparative 비교적
environmental 환경의
oracle 신탁
overtime 잔업
beguile 구슬리다
affirmation 확인
candidate 후보자
nerve 신경
misguide 잘못이끌다
prudent 신중한
meltdown 붕괴
endanger 위험하게하다
cripple 불구로만들다
frequency 빈도
remains 나머지
probability 확률
circumference 둘레
precisely 정확히
lump 덩어리
extent 규모
